Player,Rating
Aymeric Laporte,51561.316123653
Thiago Silva,45305.335377491996
Virgil van Dijk,42717.597925053
Antonio Rüdiger,41810.419600771
Joël Matip,40201.809873813
Joachim Andersen,39880.978523361
Eric Dier,39643.848827778
Marc Guéhi,39467.32500363
Rúben Dias,39358.240505059
Gabriel Dos Santos,34950.696770786
Lewis Dunk,32958.223560447
Conor Coady,30985.351990169
Ben White,30364.320974918
Çağlar Söyüncü,29878.107940533
Romain Saïss,29590.880123845
Mohammed Salisu,29410.412988687
Tyrone Mings,28067.416143791
Harry Maguire,27612.924004224
Max Kilman,26377.867111726
Daniel Amartey,24912.870897539
Diego Llorente,24680.128104886
Ethan Pinnock,24038.199641678
Pontus Jansson,23746.966210628
Ben Gibson,23544.642719378
Jan Bednarek,23114.636339909
Victor Lindelöf,23024.985960433998
Cristian Romero,21988.141043325002
Craig Dawson,21864.362863839
Andreas Christensen,21249.059942898
Grant Hanley,21002.122607079
Pascal Struijk,20864.002967862
Michael Keane,20488.807279344
Raphaël Varane,20243.960883539
James Tarkowski,20202.935426647
Adam Webster,19674.124926024
Trevoh Chalobah,19307.54405683
Liam Cooper,19239.248080819
Davinson Sánchez,18344.002449933
Fabian Schär,18053.293359985
Shane Duffy,17392.665943957
John Stones,16962.551138413
Ezri Konsa,16766.748563051
Kurt Zouma,16635.244430569
Takehiro Tomiyasu,16561.41892267
Jonny Evans,16221.41590618
Craig Cathcart,15948.496687892
Kristoffer Ajer,14282.902175062
Nathan Aké,13940.83231118
Mason Holgate,13697.128026162
Ben Godfrey,13239.107976393
Ben Mee,13186.432955448
Ibrahima Konaté,12859.76496335
Cheikhou Kouyaté,12545.43147478
Jamaal Lascelles,11285.186096882
Nathan Collins,11199.873156106
Robin Koch,10971.620957927
William Troost-Ekong,10856.521704516
Dan Burn,10596.863983051
Dan Burn,9751.22205604
Wesley Fofana,9248.918455134
Willy Boly,9135.680345449
Mads Bech Sørensen,8291.388698349
Christian Kabasele,8140.278057392
Issa Diop,8075.6484700030005
Rob Holding,8064.817982845
Angelo Ogbonna,8038.66523428
Jack Stephens,7625.959429334
Ozan Kabak,7458.807378077
Lyanco,6672.839562583
Japhet Tanganga,6593.313897523
Yerry Mina,6333.302506921
Ciaran Clark,5962.236456225
